state,week,mean,std,trump_mean,clinton_mean,mean_diff,candidate,right_1_total,right_1_ratio,left_1_total,left_1_ratio,right_2std_total,right_2std_ratio,left_2std_total,left_2std_ratio,right_5_total,right_5_ratio,left_5_total,left_5_ratio,right_10_total,right_10_ratio,left_10_total,left_10_ratio
Vermont,1.0,-0.3860870212116698,0.3297716896315311,0.1938124081799991,-0.4765498743859683,0.6703622825659674,Clinton,14780,0.00385020263058973,82639,0.021527530121062562,16409,0.004274558522689233,22744,0.005924831436409527,20576,0.0053600655836951476,268474,0.06993770643064595,39011,0.010162398837749387,560949,0.14612769387189975
Vermont,2.0,-0.3903892385703889,0.3240787863413225,0.20209937365588548,-0.47682197750441335,0.6789213511602988,Clinton,13164,0.003388369891383749,80500,0.020720432714706152,14928,0.003842417634349484,23392,0.006021023131210016,20339,0.0052351910681292975,261017,0.06718490914154604,38889,0.010009899476300715,555400,0.14295811589748816
Vermont,3.0,-0.39048684623451674,0.3210998389119518,0.2740962343118386,-0.4687879028196479,0.7428841371314865,Clinton,13160,0.0033529525218355936,75340,0.019195398403882496,15982,0.004071951915195779,21566,0.005494663684339393,21467,0.005469440105337743,265599,0.06767027635615591,42131,0.010734288958773206,559802,0.14262838355840493
Vermont,4.0,-0.3889364711875532,0.32678562594373745,0.26391965513085214,-0.4709810374573745,0.7349006925882267,Clinton,14642,0.0037203284621642953,78104,0.019845139612681334,15690,0.003986610679644707,27195,0.006909871091965442,22551,0.005729895311451101,269982,0.0685986695036225,42525,0.010805010780872603,559108,0.1420615630257994
Vermont,5.0,-0.413958538659166,0.31876300795047,0.29171025684848967,-0.4870538857129311,0.7787641425614208,Clinton,14094,0.003380936879822735,68627,0.01646257664620369,15199,0.0036460096236998543,18444,0.00442443591680506,22099,0.005301214992706302,276763,0.06639124689019296,42639,0.010228449525951581,561354,0.13466031227728192
Vermont,6.0,-0.41530892514477374,0.3282563457098314,0.2964019882588938,-0.4897454452812622,0.7861474335401559,Clinton,14496,0.00359386632929544,79185,0.019631643576521758,14246,0.003531886018704666,16669,0.004132599188950448,22353,0.005541783530542285,263578,0.06534658521958013,40535,0.010049487559188098,542026,0.13437975931309948
Vermont,7.0,-0.43258198388081337,0.3299731252719777,0.32447633282615124,-0.5048271798963232,0.8293035127224744,Clinton,15673,0.003657446624801936,92081,0.021487994810080204,14512,0.0033865160096424227,19755,0.004610020932365357,21987,0.005130879789416204,281818,0.06576496477435284,38367,0.008953311724224837,580894,0.13555725130273055
Vermont,8.0,-0.4380821845705959,0.3366029195615072,0.32443612862315824,-0.5170205059552733,0.8414566345784316,Clinton,18505,0.004259911459219376,95697,0.022029762059601006,14665,0.0033759309132370794,17915,0.004124091531581471,24844,0.005719169969891714,290829,0.06694978599153266,41808,0.009624338194382258,594831,0.13693203962166553
Vermont,9.0,-0.42479253265314376,0.3460290931835641,0.2976198760116543,-0.5148842596753466,0.8125041356870009,Clinton,17126,0.004034588242777331,105696,0.02490014240970412,12538,0.0029537351038153785,23864,0.005621944051479518,25707,0.006056122851633589,289703,0.0682489967124443,42062,0.0099090768812157,615137,0.1449155966306971
Vermont,10.0,-0.42587727394256597,0.3457426726680947,0.2987895331889971,-0.515157680460153,0.8139472136491501,Clinton,15961,0.0038083144420799062,105925,0.025273836681743878,13181,0.003145002986094558,26310,0.006277598707544786,23858,0.005692548459315982,285592,0.06814260623660702,41914,0.010000732505816502,608341,0.14515091886531747
