agency,city,population_group,country_division,country_region,agency_indicator,core_city,population
ALAST0000,MONTGOMERY                    ,8D,6,3,4,N,000000000
AL0010000,BIRMINGHAM                    ,9A,6,3,2,N,000148037
AL0010100,BESSEMER                      ,4 ,6,3,1,N,000028900
AL0010200,BIRMINGHAM                    ,2 ,6,3,1,Y,000233014
AL0010300,BIRMINGHAM                    ,5 ,6,3,1,N,000021009
AL0010400,FAIRFIELD                     ,5 ,6,3,1,N,000011802
AL0010500,GARDENDALE                    ,5 ,6,3,1,N,000012946
AL0010600,LEEDS                         ,5 ,6,3,1,N,000009509
AL0010700,MIDFIELD                      ,6 ,6,3,1,N,000005367
AL0010800,BIRMINGHAM                    ,6 ,6,3,1,N,000006752
AL0010900,BIRMINGHAM                    ,4 ,6,3,1,N,000031280
AL0011000,HOMEWOOD                      ,5 ,6,3,1,N,000024180
AL0011100,FULTONDALE                    ,6 ,6,3,1,N,000006915
AL0011200,HOOVER                        ,3 ,6,3,1,Y,000049387
AL0011300,IRONDALE                      ,6 ,6,3,1,N,000009617
AL0011400,PLEASANT GROVE                ,5 ,6,3,1,N,000010405
AL0011500,ROOSEVELT CITY                ,7 ,6,3,0,N,000000000
AL0011600,GRAYSVILLE                    ,7 ,6,3,1,N,000002474
AL0011700,BIRMINGHAM                    ,7 ,6,3,0,N,000000000
AL0011800,BESSEMER                      ,6 ,6,3,1,N,000003447
AL0011900,BESSEMER                      ,5 ,6,3,1,N,000015329
AL0012000,BESSEMER                      ,7 ,6,3,1,N,000002339
AL0012100,TRUSSVILLE                    ,5 ,6,3,1,N,000016794
AL0012200,ADAMSVILLE                    ,6 ,6,3,1,N,000004889
AL0012300,WARRIOR                       ,6 ,6,3,1,N,000003064
AL0012400,BIRMINGHAM                    ,7 ,6,3,3,N,000000000
AL0012500,TRAFFORD                      ,7 ,6,3,0,N,000000501
AL0012600,MORRIS                        ,7 ,6,3,1,N,000001885
AL0012700,BROOKSIDE                     ,7 ,6,3,1,N,000001367
AL0012800,BIRMINGHAM                    ,7 ,6,3,0,N,000000081
AL0012900,KIMBERLY                      ,7 ,6,3,1,N,000002342
