Week,immigration_reaction_amount,immigration_reaction_ratio,race_reaction_amount,race_reaction_ratio,immigration_user_amount,immigration_user_ratio,race_user_amount,race_user_ratio,immigration_post_amount,immigration_post_ratio,race_post_amount,race_post_ratio,related_reaction_amount,related_reaction_ratio,related_user_amount,related_user_ratio,related_post_amount,related_post_ratio,std_whole_x,std_whole_y,std_all,std_new,std_quit
2016-07-24,2885263.0,0.026049162594858497,2825095.0,0.025505944865657573,1595933.0,0.12881219595998614,1526362.0,0.12319692684459585,2934,0.017824922084312977,4145,0.025182107034586662,5710358.0,0.05155510746051607,3122295.0,0.252009122804582,7079,0.04300702911889964,1.0134067246289762,1.0134067246289762,1.0211559424608037,1.0150743727777005,1.0174470268307934
2015-10-25,2023930.0,0.02135322019913157,1911064.0,0.020162441589695882,839970.0,0.07631679798167568,941576.0,0.08554837122325114,3942,0.025654208344451025,3284,0.0213719990368283,3934994.0,0.04151566178882746,1781546.0,0.16186516920492683,7226,0.04702620738127933,1.0049789025653608,1.0049789025653608,1.0067628194841192,1.0052808415916907,1.0060373834426264
2016-07-17,1425550.0,0.014048936657956305,4071174.0,0.04012182361160156,904224.0,0.07621874688646844,1946117.0,0.1640418735119321,2707,0.016161194029850747,6442,0.038459701492537315,5496724.0,0.05417076026955787,2850341.0,0.24026062039840057,9149,0.054620895522388066,1.0146314412867696,1.0146314412867696,1.021680514434449,1.0164195542818724,1.0181591022591916
2015-06-28,3710509.0,0.03701542531433557,2512224.0,0.025061531947471724,1696206.0,0.15708728130035432,1262465.0,0.11691810699104463,3391,0.026420151306204176,3372,0.026272117429820257,6222733.0,0.06207695726180729,2958671.0,0.274005388291399,6763,0.052692268736024436,1.003497062342483,1.003497062342483,1.0046522677096654,1.0035579664429528,1.0042384616299063
2016-04-17,1379229.0,0.016774314792709306,983745.0,0.01196440062219821,839057.0,0.07124129221396612,640050.0,0.05434432831327194,2640,0.01716124419020379,2203,0.014320538239022329,2362974.0,0.028738715414907516,1479107.0,0.12558562052723807,4843,0.03148178242922612,1.0118899668865078,1.0118899668865078,1.0180394503315544,1.0129605972159432,1.0148877285478601
2015-12-20,3189034.0,0.0358167811365077,1355411.0,0.015222935577674944,1440345.0,0.12935090827041335,762471.0,0.0684740922347426,4313,0.031472333097394216,2272,0.016578980013280696,4544445.0,0.05103971671418264,2202816.0,0.19782500050515595,6585,0.04805131311067491,1.006310507594477,1.006310507594477,1.0086833106489057,1.0070826958321355,1.0077926369302443
2015-05-31,1157481.0,0.014520599341899329,1123977.0,0.014100291656199956,574227.0,0.058284305227314336,598181.0,0.0607156472704699,2945,0.02276222938453096,2403,0.018573051684559555,2281458.0,0.028620890998099287,1172408.0,0.11899995249778424,5348,0.04133528106909051,1.002613409119393,1.002613409119393,1.0040417696199944,1.0026640669399265,1.0039160492495673
2015-06-07,1148998.0,0.014058677006692735,2656727.0,0.03250664212466843,598943.0,0.060082870087770475,1187334.0,0.11910721800370462,2250,0.01737317581653926,4621,0.035680642421434636,3805725.0,0.046565319131361166,1786277.0,0.1791900880914751,6871,0.05305381823797389,1.0024116484290486,1.0024116484290486,1.0039258332886571,1.0024992753214097,1.0037464980871007
2016-02-21,2281335.0,0.023973048876432812,2282208.0,0.023982222659182442,1222254.0,0.10714124171756426,1210215.0,0.1060859181849452,3595,0.02065356022566672,4453,0.02558283829899691,4563543.0,0.047955271535615254,2432469.0,0.21322715990250946,8048,0.04623639852466363,1.009295389711655,1.009295389711655,1.0145452577519425,1.011001383483591,1.0122694327463608
2015-08-30,2597737.0,0.02875863514792308,2950658.0,0.032665699748781515,1242912.0,0.1160947048659922,1303123.0,0.12171873800324265,3839,0.027194163065807183,4878,0.034554083728837566,5548395.0,0.0614243348967046,2546035.0,0.23781344286923484,8717,0.061748246794644746,1.0032086435025476,1.0032086435025476,1.0055815495106313,1.0036845337899236,1.004309724139689
2016-03-27,1581536.0,0.018598844682296216,1044237.0,0.0122802147877171,844791.0,0.07300337782484947,703680.0,0.0608091432174231,3751,0.022821576763485483,2378,0.014468064394446404,2625773.0,0.030879059470013313,1548471.0,0.1338125210422726,6129,0.03728964115793189,1.0103992252527325,1.0103992252527325,1.016160434620537,1.0124911159043883,1.013424954931029
2015-08-23,2454085.0,0.028128862498342868,2416850.0,0.02770207280070575,1088539.0,0.10410875814513054,1209950.0,0.11572060524951397,3704,0.02613364565768029,4184,0.029520295202952032,4870935.0,0.05583093529904862,2298489.0,0.2198293633946445,7888,0.05565394086063232,1.0035232261022746,1.0035232261022746,1.0052946970438639,1.0039451490858493,1.0042503772765816
2016-06-12,5092466.0,0.053971114042981265,565235.0,0.005990489214083022,2377084.0,0.19654520954724514,417671.0,0.034534427145530996,5213,0.034621540668521834,1462,0.009709705056086496,5657701.0,0.05996160325706429,2794755.0,0.23107963669277615,6675,0.04433124572460833,1.0143579474153457,1.0143579474153457,1.0217261754586415,1.016304918649678,1.0174579287169168
