Week,state,immigration_reaction_amount,immigration_reaction_ratio,race_reaction_amount,race_reaction_ratio,immigration_user_amount,immigration_user_ratio,race_user_amount,race_user_ratio,immigration_post_amount,immigration_post_ratio,race_post_amount,race_post_ratio,immigration_comment_amount,immigration_comment_ratio,race_comment_amount,race_comment_ratio,immigration_comment_length,immigration_comment_length_ratio,race_comment_length,race_comment_length_ratio,immigration_comment_sentiment,immigration_comment_negative_ratio,race_comment_sentiment,race_comment_negative_ratio,related_reaction_amount,related_reaction_ratio,related_user_amount,related_user_ratio,related_post_amount,related_post_ratio,related_comment_amount,related_comment_ratio,related_comment_length,related_comment_length_ratio,related_comment_sentiment,related_comment_negative_ratio,hate_crime,racial_crime,racial_broad_crime,sexual_crime,population,hate_crime_rate,racial_crime_rate,racial_broad_crime_rate,sexual_crime_rate
2016-07-10,Vermont,116144,0.007851542145523936,924265,0.06248196722286714,89851,0.04325878237391542,439285,0.21149385332523213,2398,0.015821281536999895,9260,0.061094690172067985,21260,0.014983754678018425,109378,0.0770881053232502,23.649294449670702,1.0874569939733976,26.12991643657784,1.2015225418825406,-0.06850240357478829,0.404656632173095,-0.1151604461918259,0.4492182499771418,1040409,0.07033350936839108,529136,0.2547526356991475,11658,0.07691597170906789,130638,0.09207186000126862,25.726220548385694,1.1829595391685648,-0.10756732637953377,0.4419663018876576,1,1,1,0,623644.0,1.6034789078384464e-06,1.6034789078384464e-06,1.6034789078384464e-06,0.0
2016-07-10,Colorado,2616,0.012776307178370142,14241,0.06955175478867323,1628,0.05498142519419115,6635,0.22407970280310704,2398,0.015821281536999895,9260,0.061094690172067985,507,0.02030192608016658,2620,0.10491330637088056,18.270216962524646,0.9017947030335628,22.53778625954199,1.1124365030063152,-0.04270729783037473,0.3668639053254438,-0.1111039312977099,0.4526717557251909,16857,0.08232806196704337,8263,0.2790611279972982,11658,0.07691597170906789,3127,0.12521523245104715,21.845858650463704,1.0782838350862047,-0.10001435881036136,0.43875919411576597,2,1,1,1,5540921.0,3.6095082387927926e-07,1.8047541193963963e-07,1.8047541193963963e-07,1.8047541193963963e-07
2016-07-10,Washington,4504,0.012793164859698405,23832,0.06769243004803117,2619,0.060891399874450726,9820,0.22831368719629866,2398,0.015821281536999895,9260,0.061094690172067985,1089,0.023113658070678132,4716,0.10009551098376314,22.057851239669414,1.0407543474173058,23.174088210347787,1.0934216932688434,-0.04566841138659322,0.3829201101928375,-0.12942553011026292,0.4601357082273113,28336,0.08048559490772958,12439,0.2892050870707494,11658,0.07691597170906789,5805,0.12320916905444126,22.96468561584843,1.0835414624966944,-0.11371295434969851,0.44565030146425494,12,9,10,2,7294680.0,1.6450344634720096e-06,1.2337758476040072e-06,1.3708620528933414e-06,2.7417241057866827e-07
2016-07-10,Maryland,8698,0.012082166511090368,61980,0.08609481264168556,5318,0.048319098673450835,27915,0.2536343812465928,2398,0.015821281536999895,9260,0.061094690172067985,1574,0.019484779836842818,10321,0.1277651923100729,19.78716645489196,1.010841888133008,22.999806220327486,1.1749619431083966,-0.053237674714104205,0.3818297331639136,-0.11271775021800218,0.4497626199011724,70678,0.09817697915277593,33233,0.3019534799200437,11658,0.07691597170906789,11895,0.14724997214691574,22.57469525010508,1.1532448378934943,-0.10484707860445569,0.4407734342160572,0,0,0,0,6004692.0,0.0,0.0,0.0,0.0
2016-07-10,Montana,1281,0.011806995714088208,7671,0.07070371906539473,802,0.04678840207689167,3808,0.22215740038504173,2398,0.015821281536999895,9260,0.061094690172067985,274,0.02358612378410949,1086,0.09348368769906172,17.686131386861316,0.9198799593524573,21.421731123388557,1.1141736270081488,0.028353649635036518,0.32116788321167883,-0.13522311233885814,0.4696132596685083,8952,0.08251071477948294,4610,0.2689458024619334,11658,0.07691597170906789,1360,0.11706981148317121,20.669117647058805,1.0750291674951638,-0.10226720588235289,0.43970588235294117,0,0,0,0,1040863.0,0.0,0.0,0.0,0.0
2016-07-10,Oregon,992,0.008608570387212106,7356,0.0638353263793672,731,0.03747564851840459,3929,0.20142520250179435,2398,0.015821281536999895,9260,0.061094690172067985,274,0.017166844182695318,1305,0.0817617943737861,22.38321167883213,1.0927406468683327,22.59693486590036,1.103174538886991,-0.09898321167883213,0.4452554744525548,-0.1264369348659004,0.4567049808429119,8348,0.07244389676657931,4660,0.23890085102019895,11658,0.07691597170906789,1579,0.09892863855648142,22.559848005066478,1.10136397117761,-0.12167295756808108,0.45471817606079795,7,6,6,1,4091404.0,1.7109041297315053e-06,1.466489254055576e-06,1.466489254055576e-06,2.4441487567592933e-07
2016-07-10,Delaware,78,0.007441327990841442,843,0.08042358328563251,49,0.027888446215139442,410,0.2333523050654525,2398,0.015821281536999895,9260,0.061094690172067985,8,0.007729468599033815,116,0.11207729468599034,19.75,1.0080008876177322,27.51724137931034,1.4044255055765174,-0.2470375,0.5,-0.0878491379310345,0.3879310344827586,921,0.08786491127647396,459,0.26124075128059193,11658,0.07691597170906789,124,0.11980676328502415,27.01612903225806,1.3788497237727249,-0.09811935483870969,0.3951612903225806,0,0,0,0,949216.0,0.0,0.0,0.0,0.0
2016-07-10,Minnesota,7178,0.009036159745406388,57008,0.07176558857148611,5392,0.041161247967510715,29349,0.22404329870149695,2398,0.015821281536999895,9260,0.061094690172067985,2052,0.01862812738298413,10051,0.09124332764443152,21.908382066276825,1.0624567669553282,23.552581832653452,1.142192968502688,-0.06853508771929821,0.40058479532163743,-0.11182742015719832,0.4527907670878519,64186,0.0808017483168925,34741,0.26520454666900767,11658,0.07691597170906789,12103,0.10987145502741565,23.273816409154744,1.128674114865145,-0.10448743286788402,0.44393951912748897,2,2,2,0,5523409.0,3.6209522054224124e-07,3.6209522054224124e-07,3.6209522054224124e-07,0.0
2016-07-10,Tennessee,7605,0.021332817194166503,33767,0.09471995242543332,4091,0.09822093107008237,13050,0.31331780749561833,2398,0.015821281536999895,9260,0.061094690172067985,1253,0.0327453286292957,6002,0.15685352149483864,17.486831604149998,0.9187168148349318,21.56147950683103,1.1327891881193266,-0.08245913806863528,0.4102154828411811,-0.13438758747084295,0.4648450516494502,41372,0.11605276961959983,17141,0.41153873856570067,11658,0.07691597170906789,7255,0.18959885012413435,20.857753273604384,1.0958170745803402,-0.1254191040661612,0.4554100620261889,1,0,0,1,6645011.0,1.5048884042479387e-07,0.0,0.0,1.5048884042479387e-07
2016-07-10,South Dakota,1514,0.013368181256291169,9224,0.08144524696699454,958,0.0524184723134165,4252,0.2326548478879405,2398,0.015821281536999895,9260,0.061094690172067985,238,0.02469904524699045,1155,0.11986301369863013,21.605042016806703,1.2151961246210268,23.812987012987005,1.3393840896639784,-0.031227731092436962,0.407563025210084,-0.1182124675324675,0.4510822510822511,10738,0.0948134282232857,5210,0.285073320201357,11658,0.07691597170906789,1393,0.14456205894562058,23.435750179468762,1.3181660453852833,-0.10335075376884419,0.44364680545585067,0,0,0,0,862890.0,0.0,0.0,0.0,0.0
