"week","total","posts","negative","all","month_year","year","party_diff","Candidate_diff_counts","Candidate_diff_distance","population"
1,77,1078,3302,6498,5,2015,1.047195273,0.85246342,0.889450805,320742673
2,79,453,2598,5079,5,2015,1.040698336,0.849413472,0.888776176,320742673
3,64,528,3134,5986,5,2015,1.030818033,0.846191114,0.940564009,320742673
4,70,768,4010,7861,5,2015,1.049383467,0.866802211,0.908912476,320742673
5,74,525,3452,7216,6,2015,1.080535313,0.899544991,0.945684459,320742673
6,67,844,4641,8078,6,2015,1.110045558,0.928471528,0.966133501,320742673
7,70,2236,6761,11199,6,2015,1.141153593,0.959690596,0.994520441,320742673
8,82,1197,5059,9035,6,2015,1.154748264,0.98055282,1.041845754,320742673
9,85,486,3751,8910,6,2015,1.138254135,0.968989483,1.024105867,320742673
10,63,790,4941,12008,7,2015,1.131511631,0.958959306,1.01835768,320742673
11,72,547,4788,11316,7,2015,1.142786016,0.971702847,1.030206419,320742673
12,67,472,4991,10398,7,2015,1.12290509,0.947182444,1.008401298,320742673
13,88,763,4227,8023,7,2015,1.139935027,0.962804165,1.049018668,320742673
14,72,667,3231,7716,8,2015,1.147966486,0.977053153,1.072242043,320742673
15,76,778,3778,8029,8,2015,1.135475494,0.97242894,1.064149378,320742673
16,63,782,3868,10648,8,2015,1.147593189,0.986733639,1.087310838,320742673
17,79,747,3865,9744,8,2015,1.152554892,0.987541848,1.073042334,320742673
18,61,1376,5209,10471,8,2015,1.155400982,0.983445238,1.06900758,320742673
19,58,759,4594,9759,9,2015,1.147435823,0.97226455,1.060734968,320742673
20,66,623,5227,12904,9,2015,1.149640806,0.972877169,1.056403385,320742673
21,80,598,5833,15667,9,2015,1.159531536,0.985086141,1.076740516,320742673
22,59,271,4164,9486,9,2015,1.14798404,0.982046597,1.069901803,320742673
23,57,255,3483,8163,10,2015,1.158508371,0.989979816,1.073810667,320742673
24,44,284,3596,8282,10,2015,1.153849249,0.985701258,1.064568084,320742673
25,71,378,3643,8423,10,2015,1.142993138,0.972008536,1.042745568,320742673
26,58,583,4326,9336,10,2015,1.161141725,0.991354554,1.041458741,320742673
27,56,484,4059,9663,11,2015,1.168535137,1.000244618,1.054390136,320742673
28,57,438,3854,9151,11,2015,1.186770015,1.017084761,1.065872264,320742673
29,75,328,4957,12174,11,2015,1.209751972,1.047526262,1.097955618,320742673
30,64,1332,5199,10952,11,2015,1.201972329,1.040421043,1.106666148,320742673
31,54,930,4991,11039,12,2015,1.194710402,1.032718647,1.092721217,320742673
32,54,702,5889,19391,12,2015,1.177327296,1.019570662,1.094004386,320742673
33,41,393,4959,14052,12,2015,1.183889974,1.021597359,1.090412955,320742673
34,41,418,3831,9082,12,2015,1.19003351,1.027842033,1.106533141,320742673
35,39,556,4908,10850,12,2015,1.187091991,1.025234246,1.1102224,320742673
36,42,665,4656,10743,1,2016,1.193579411,1.031642706,1.093529255,323071342
37,45,357,3578,9342,1,2016,1.188101029,1.024923671,1.104730384,323071342
38,40,335,3928,9509,1,2016,1.197582289,1.0320936,1.104744502,323071342
39,56,166,2748,6759,1,2016,1.183271091,1.021806457,1.087148131,323071342
40,52,247,3142,8158,1,2016,1.195250545,1.035350622,1.112542917,323071342
41,47,338,3429,8414,2,2016,1.200838316,1.042627088,1.127590704,323071342
42,56,390,2891,8063,2,2016,1.224772281,1.076007971,1.156308644,323071342
43,47,476,3600,9512,2,2016,1.258423508,1.113413106,1.200904971,323071342
44,60,335,3166,7868,3,2016,1.256177289,1.117122195,1.196421497,323071342
45,60,320,2703,7368,3,2016,1.265189665,1.126465767,1.204385421,323071342
46,63,458,2676,6879,3,2016,1.258739911,1.116164419,1.193253863,323071342
47,60,231,3248,8562,3,2016,1.260672567,1.11383677,1.196883444,323071342
48,52,420,3561,7954,3,2016,1.259491243,1.105620164,1.207849608,323071342
49,54,456,3343,7573,4,2016,1.264185879,1.107505381,1.229433981,323071342
50,63,327,2734,6233,4,2016,1.268375164,1.121719673,1.228479004,323071342
51,60,192,2210,5667,4,2016,1.283233512,1.137579894,1.235859225,323071342
52,57,220,2025,4897,4,2016,1.297295464,1.154868704,1.233600356,323071342
53,70,157,1960,5481,5,2016,1.280188868,1.139350468,1.196600668,323071342
54,62,323,2347,6532,5,2016,1.295555844,1.152058487,1.214831666,323071342
55,53,301,2180,5409,5,2016,1.279059052,1.144011008,1.212461093,323071342
56,57,378,2289,5534,5,2016,1.318296434,1.183063579,1.224982053,323071342
57,50,274,2243,6097,5,2016,1.348376779,1.213020401,1.254167893,323071342
58,60,169,2332,7174,6,2016,1.348980357,1.215658587,1.244220645,323071342
59,59,186,3269,9218,6,2016,1.343956847,1.216209797,1.228576164,323071342
60,64,198,2496,8040,6,2016,1.318456996,1.197318608,1.214432274,323071342
61,69,189,2322,6427,6,2016,1.327365123,1.214760214,1.213415243,323071342
62,79,2533,5668,10083,7,2016,1.368026963,1.262677578,1.237524604,323071342
63,96,1750,6584,12293,7,2016,1.378003654,1.278566173,1.250285359,323071342
64,86,1308,5055,10216,7,2016,1.38135921,1.285484384,1.236106917,323071342
65,67,556,3240,8137,7,2016,1.369433511,1.276719718,1.280384799,323071342
66,85,685,3514,9455,8,2016,1.314317721,1.22139243,1.234666715,323071342
