"week","state_name","n","year","month_year","quarter","month","mean","std","trump_mean","clinton_mean","mean_diff","candidate","right_1_total","right_1_ratio","left_1_total","left_1_ratio","right_2std_total","right_2std_ratio","left_2std_total","left_2std_ratio","right_5_total","right_5_ratio","left_5_total","left_5_ratio","right_10_total","right_10_ratio","left_10_total","left_10_ratio","population","crime_rate","extreme_1_ratio","extreme_2std_ratio","extreme_5_ratio","extreme_10_ratio","extreme_1_total","extreme_2std_total","extreme_5_total","extreme_10_total","mean_diff_last","mean_diff_last2"
68,"Michigan",6,2016,8,3,128,0.071910414440479,0.668509360342493,0.668898949365809,-0.447082580000378,1.11598152936619,"Clinton",6735,0.111597156633693,1947,0.032261271561366,2002,0.0331726069162069,236,0.00391045715895346,2824,0.0467929280376464,3159,0.0523437888353134,5802,0.0961375950688472,5276,0.0874219151298239,9951890,6.02900554568027e-07,0.143858428195059,0.0370830640751603,0.0991367168729599,0.183559510198671,8682,2238,5983,11078,1.1190188174952,1.12703173255883
69,"Michigan",4,2016,8,3,128,0.0903393861138309,0.673100836309374,0.656291200266663,-0.462997782443483,1.11928898271015,"Clinton",6656,0.113764164971713,2097,0.0358418650759738,1939,0.0331413335156477,223,0.003811509733878,2941,0.0502674893602475,3121,0.0533440443023912,6041,0.103252602252722,5291,0.0904336233271232,9951890,4.01933703045351e-07,0.149606030047687,0.0369528432495257,0.103611533662639,0.193686225579845,8753,2162,6062,11332,1.11598152936619,1.1190188174952
70,"Michigan",6,2016,8,3,128,0.0801678844126305,0.680705113654611,0.668490082710767,-0.473477210702704,1.14196729341347,"Clinton",6656,0.114242559472727,2204,0.037829116748481,2027,0.0347911159932718,164,0.00281487075623906,3004,0.0515601936081837,3199,0.0549071435927363,6212,0.106621811815592,5410,0.0928564072637397,9951890,6.02900554568027e-07,0.152071676221208,0.0376059867495108,0.10646733720092,0.199478219079331,8860,2191,6203,11622,1.11928898271015,1.11598152936619
71,"Michigan",9,2016,9,3,129,0.0597464101096322,0.690965293054461,0.703850415324806,-0.478133907257527,1.18198432258233,"Clinton",6720,0.114076186596048,2181,0.0370238337746995,2001,0.033968221633734,158,0.00268214843484756,3073,0.0521660894954845,3264,0.0554084334895091,6293,0.106827595572758,6123,0.103941739661846,9951890,9.0435083185204e-07,0.151100020370748,0.0366503700685815,0.107574522984994,0.210769335234603,8901,2159,6337,12416,1.14196729341347,1.11928898271015
72,"Michigan",7,2016,9,3,129,0.0535249403054976,0.68813889678247,0.696716762990533,-0.49085038477661,1.18756714776714,"Clinton",6461,0.109378703233452,1973,0.0334010496021669,1970,0.0333502624005417,200,0.00338581344167936,3158,0.0534619942441171,3413,0.0577789063822583,6458,0.109327916031827,6281,0.10633147113594,9951890,7.03383980329365e-07,0.142779752835619,0.0367360758422211,0.111240900626375,0.215659387167767,8434,2170,6571,12739,1.18198432258233,1.14196729341347
73,"Michigan",10,2016,9,3,129,0.0477766375287308,0.697073776297742,0.702874034354613,-0.506979261970484,1.2098532963251,"Clinton",6664,0.112058383359397,2024,0.0340345390035144,1776,0.0298642990465621,191,0.00321175738620121,3135,0.0527165413913131,3246,0.0545830600817232,6421,0.107972220820932,6192,0.10412147505423,9951890,1.00483425761338e-06,0.146092922362912,0.0330760564327633,0.107299601473036,0.212093695875162,8688,1967,6381,12613,1.18756714776714,1.18198432258233
74,"Michigan",11,2016,9,3,129,0.0349053588400689,0.687431946044137,0.696518172132052,-0.499313906481469,1.19583207861352,"Clinton",6426,0.104064777327935,2085,0.0337651821862348,1544,0.025004048582996,186,0.00301214574898785,3171,0.0513522267206478,3170,0.051336032388664,6331,0.102526315789474,5826,0.0943481781376518,9951890,1.10531768337472e-06,0.13782995951417,0.0280161943319838,0.102688259109312,0.196874493927126,8511,1730,6341,12157,1.2098532963251,1.18756714776714
75,"Michigan",2,2016,10,4,130,0.0421818583216015,0.688955021066036,0.695785977825708,-0.495762825276545,1.19154880310225,"Clinton",6756,0.110298439234637,2190,0.0357539345654019,1580,0.0257950760791484,245,0.00399986939201985,3140,0.0512636322079279,3180,0.0519166721086658,6278,0.102494612420819,5636,0.0920133220139751,9951890,2.00966851522676e-07,0.146052373800039,0.0297949454711683,0.103180304316594,0.194507934434794,8946,1825,6320,11914,1.19583207861352,1.2098532963251
76,"Michigan",8,2016,10,4,130,0.0363000669878629,0.688133691213399,0.696432780981598,-0.490124385755302,1.1865571667369,"Clinton",7081,0.113335894234771,2152,0.0344441243317648,1679,0.0268734594577291,188,0.00300905918883447,3218,0.0515061301578155,3035,0.0485770991388969,6298,0.100803482825955,5503,0.0880790038093409,9951890,8.03867406090702e-07,0.147780018566535,0.0298825186465636,0.100083229296712,0.188882486635296,9233,1867,6253,11801,1.19154880310225,1.19583207861352
77,"Michigan",5,2016,10,4,130,0.0603761847864792,0.708479080616697,0.686243083273409,-0.545164820375093,1.2314079036485,"Clinton",7771,0.114247489672003,2553,0.0375336303091783,1448,0.0212881694820565,73,0.00107322953880533,3486,0.0512503859215807,3610,0.0530734059600994,6865,0.100927681971214,6220,0.0914450374160161,9951890,5.02417128806689e-07,0.151781119981182,0.0223613990208618,0.10432379188168,0.19237271938723,10324,1521,7096,13085,1.1865571667369,1.19154880310225
