"week","state_name","n","year","month_year","quarter","month","mean","std","trump_mean","clinton_mean","mean_diff","candidate","right_1_total","right_1_ratio","left_1_total","left_1_ratio","right_2std_total","right_2std_ratio","left_2std_total","left_2std_ratio","right_5_total","right_5_ratio","left_5_total","left_5_ratio","right_10_total","right_10_ratio","left_10_total","left_10_ratio","population","crime_rate","extreme_1_ratio","extreme_2std_ratio","extreme_5_ratio","extreme_10_ratio","extreme_1_total","extreme_2std_total","extreme_5_total","extreme_10_total","mean_diff_last","mean_diff_last2"
25,"Kentucky",6,2015,10,4,118,0.402365760793646,0.5429157812764,0.640512539474455,-0.370103898922837,1.01061643839729,"Trump",55509,0.122475861825499,846,0.00186662665701728,42057,0.0927951741302314,168,0.000370677634017616,55233,0.121866891426756,2595,0.00572564559687925,105525,0.232831888867315,6223,0.0137305173600692,4425999,1.35562615355313e-06,0.124342488482516,0.093165851764249,0.127592537023635,0.246562406227384,56355,42225,57828,111748,1.01422580458067,1.00369305966008
26,"Kentucky",4,2015,10,4,118,0.403124229057354,0.549106470792971,0.629375449687934,-0.391277798654914,1.02065324834285,"Trump",60008,0.128696032615806,930,0.00199452256920243,43174,0.0925930294653178,185,0.000396759865916612,57280,0.122845433079479,2812,0.0060307499619325,110351,0.236664043047373,6792,0.0145664486989493,4425999,9.0375076903542e-07,0.130690555185008,0.0929897893312344,0.128876183041411,0.251230491746322,60938,43359,60092,117143,1.01061643839729,1.01422580458067
27,"Kentucky",3,2015,11,4,119,0.400228000326678,0.553269823861814,0.630715498182991,-0.393409443918152,1.02412494210114,"Trump",59993,0.129226189450466,963,0.00207432234495356,42828,0.0922524168117041,215,0.00046311454222743,57519,0.123897141183161,2954,0.00636297840809223,109050,0.234896003860006,6645,0.0143134703865176,4425999,6.77813076776565e-07,0.13130051179542,0.0927155313539315,0.130260119591253,0.249209474246523,60956,43043,60473,115695,1.02065324834285,1.01061643839729
28,"Kentucky",5,2015,11,4,119,0.410868572508044,0.553440085233317,0.63960802801109,-0.393702305130183,1.03331033314127,"Trump",60507,0.130819440330535,1006,0.00217502697163168,41126,0.0889166592796466,213,0.000460517639122811,56787,0.122776597055714,2874,0.0062137450461923,109172,0.236035829569557,5986,0.0129420590976016,4425999,1.12968846129428e-06,0.132994467302167,0.0893771769187695,0.128990342101906,0.248977888667158,61513,41339,59661,115158,1.02412494210114,1.02065324834285
29,"Kentucky",4,2015,11,4,119,0.422795662457563,0.555296163849828,0.653872489400538,-0.396194311741994,1.05006680114253,"Trump",63882,0.137143519591931,1009,0.00216614713484642,40412,0.0867575203304394,172,0.000369254021004543,57812,0.124112287571597,2726,0.0058522468677813,110609,0.237458244240067,5639,0.0121059501421199,4425999,9.0375076903542e-07,0.139309666726778,0.087126774351444,0.129964534439378,0.249564194382187,64891,40584,60538,116248,1.03331033314127,1.02412494210114
30,"Kentucky",8,2015,11,4,119,0.423866295475861,0.546677459238176,0.653012990104876,-0.389634752791884,1.04264774289676,"Trump",61131,0.132666791091743,1061,0.00230258731819109,37856,0.0821552738147426,145,0.000314679699470036,55367,0.120157730486603,2565,0.00556657537338374,106609,0.23136336607449,5487,0.0119079138689109,4425999,1.80750153807084e-06,0.134969378409934,0.0824699535142127,0.125724305859987,0.243271279943401,62192,38001,57932,112096,1.05006680114253,1.03331033314127
31,"Kentucky",3,2015,12,4,120,0.428627007970517,0.536531041857027,0.64757034421866,-0.381041151460031,1.02861149567869,"Trump",59979,0.129098426815383,927,0.00199526903846112,38439,0.0827358646919171,189,0.000406802425317317,54892,0.118149199632371,2567,0.00552519484544736,106661,0.229576473474975,5542,0.0119285663550718,4425999,6.77813076776565e-07,0.131093695853844,0.0831426671172344,0.123674394477819,0.241505039830047,60906,38628,57459,112203,1.04264774289676,1.05006680114253
32,"Kentucky",3,2015,12,4,120,0.414627698122219,0.536936470998737,0.639538292349116,-0.376486496829719,1.01602478917883,"Trump",56099,0.123236002249482,868,0.00190678710765878,39262,0.0862491652314506,193,0.000423974552739798,52205,0.114681821377104,2519,0.00553363677902358,102280,0.224684545358687,5523,0.0121327018382482,4425999,6.77813076776565e-07,0.12514278935714,0.0866731397841904,0.120215458156128,0.236817247196935,56967,39455,54724,107803,1.02861149567869,1.04264774289676
33,"Kentucky",2,2015,12,4,120,0.413844858941174,0.534227749280674,0.635260351419795,-0.375627460047773,1.01088781146757,"Trump",55296,0.120043244745286,1025,0.00222519397178671,38130,0.0827772157504657,196,0.000425500505824581,50949,0.110606251383962,2187,0.00474780411346101,101120,0.219523526270314,5172,0.0112280031434935,4425999,4.5187538451771e-07,0.122268438717073,0.0832027162562902,0.115354055497423,0.230751529413808,56321,38326,53136,106292,1.01602478917883,1.02861149567869
34,"Kentucky",3,2015,12,4,120,0.409416982778698,0.54083001180418,0.637213696503299,-0.378763469616067,1.01597716611937,"Trump",58444,0.126199231714348,997,0.00215284090786402,39583,0.0854723186118171,171,0.000369243525822215,50634,0.109334951382936,2363,0.00510247047671283,100953,0.217989717323567,5096,0.0110038889332749,4425999,6.77813076776565e-07,0.128352072622212,0.0858415621376393,0.114437421859649,0.228993606256842,59441,39754,52997,106049,1.01088781146757,1.01602478917883
