state,agency,ID,date,source,quarter,number_of_victims,total_offenders,offenders_race,offense_type,number_of_group_victims,location,motivation,victim_type
01,AL0010200,2016-30952  ,20160215,F,1,001,01,W,13B,001,08,32,I
01,AL0010200,2016-45385  ,20160307,F,1,001,01,W,13C,001,20,12,I
01,AL0010200,2016-59105  ,20160325,F,1,002,02,W,13C,002,18,12,I
01,AL0010200,2016-75838  ,20160417,F,2,001,01,W,13C,001,25,42,I
01,AL0010200,2016-119737 ,20160611,F,2,001,01,U,13C,001,18,26,I
01,AL0010200,2016-177710 ,20160829,F,3,002,01,U,13C,002,11,11,I
01,AL0010200,2016-182151 ,20160904,F,3,001,01,U,23*,001,21,12,I
01,AL0010200,2016-209107 ,20161011,F,4,001,01,W,13C,001,13,12,I
01,AL0010200,2016-221590 ,20161028,F,4,001,01,W,13B,001,07,12,I
01,AL0011200,201600031203,20160325,N,1,001,00,U,290,001,20,12,I
01,AL0011200,201600078376,20160805,N,3,000,01,W,290,001,05,12, 
01,AL0011200,201600100057,20161004,N,4,001,00,U,23H,001,19,13,I
01,AL0050300,161638      ,20160423,F,2,001,01,W,13C,001,14,12,I
01,AL0410100,160803111   ,20160830,F,3,002,01,B,13C,002,20,15,I
02,AZ0010300,16020115    ,20160223,F,1,001,01,W,13C,001,25,41,I
02,AZ0030700,W1600528    ,20160516,F,2,001,01,W,13B,001,13,41,I
02,AZ0070000,16024777    ,20160909,F,3,001,00,U,290,001,20,12,I
02,AZ0070000,16024782    ,20160909,F,3,001,00,U,290,001,20,12,I
02,AZ0070000,16025898    ,20160920,F,3,001,01,B,13B,001,15,11,I
02,AZ0070500,16-11546    ,20160131,F,1,001,00,U,290,001,20,12,I
02,AZ0070500,16100674    ,20160904,F,3,004,00,U,13C,004,20,21,I
02,AZ0070500,16130874    ,20161117,F,4,001,00,U,13C,001,10,14,I
02,AZ0070500,16148624    ,20161230,F,4,001,00,U,23*,001,20,21,I
02,AZ0071100,16000001692 ,20160130,N,1,002,01,W,13A,002,13,32,I
02,AZ0071300,1687667     ,20160619,F,2,001,01,W,13A,001,13,12,I
02,AZ0071700,20160220735 ,20160122,F,1,001,01,W,13B,001,13,15,I
02,AZ0071700,20160790422 ,20160319,F,1,001,00,U,120,001,18,41,I
02,AZ0071700,201620150062,20160307,F,1,001,03,U,13B,001,18,41,I
02,AZ0071700,201629604691,20161022,F,4,001,00,U,13A,001,18,12,I
02,AZ0071700,20163480423 ,20161213,F,4,002,02,I,13A,002,18,12,I
02,AZ0072300,160000000906,20160101,F,1,001,01,W,13B,001,07,41,I
02,AZ0072300,160000004292,20160101,F,1,001,01,B,13B,001,20,21,I
02,AZ0072300,160000030227,20160105,F,1,002,01,B,13B,002,20,11,I
02,AZ0072300,160000039570,20160301,F,1,001,00,U,290,001,18,12,I
02,AZ0072300,160000042373,20160107,F,1,001,01,W,13B,001,03,24,I
02,AZ0072300,160000078056,20160113,F,1,002,01,W,13B,002,07,32,I
02,AZ0072300,160000080783,20160114,F,1,001,01,B,13B,001,01,11,I
02,AZ0072300,160000090809,20160115,F,1,001,00,U,290,001,20,12,I
02,AZ0072300,160000093208,20160115,F,1,001,00,U,13B,001,18,11,I
02,AZ0072300,160000103245,20160117,F,1,001,01,W,13C,001,25,41,I
02,AZ0072300,160000133748,20160122,F,1,001,01,W,13C,001,21,24,I
02,AZ0072300,160000136651,20160122,F,1,001,00,U,13C,001,25,12,I
02,AZ0072300,160000145505,20160124,F,1,001,01,W,13C,001,20,12,I
02,AZ0072300,160000151960,20160124,F,1,001,00,U,13C,001,22,12,I
