state,agency,ID,date,source,quarter,number_of_victims,total_offenders,offenders_race,offense_type,number_of_group_victims,location,motivation,victim_type
01,AL0011200, K0YL6XYED4K,20071010,N,4,001,01,B,13B,001,20,41,I
01,AL0011200,3A0GQ-FO771G,20071226,N,4,001,00,U,290,001,20,12,I
01,AL0260500,02-MP0706D1A,20071003,D,4,001,00,U,290,002,03,12,I
01,AL0430100, C0B0AQH72 N,20070419,D,2,001,04,W,13A,001,22,14,I
01,AL0630000, C0G-BRH72 N,20070625,D,2,001,00,U,220,001,20,12,I
01,AL0630100,021M02FOLD1A,20071104,D,4,001,00,U,290,001,18,12,I
02,AZ0020900,7O-7TO17Q-F3,20070921,F,3,001,01,W,13C,001,13,12,I
02,AZ0030100,J27G8RYYQ-F3,20070901,F,3,001,01,W,13C,001,13,12,I
02,AZ0039700,L27NJ8NIQ-F3,20070304,F,1,001,03,W,200,001,20,41,I
02,AZ0039700,L27N0O1JQ-F3,20071107,F,4,001,01,I,13B,001,11,11,I
02,AZ0070000,9U1G9U42SCTD,20071023,F,4,001,00,U,220,001,20,12,I
02,AZ0070000,4 2PX4X G0W5,20071120,F,4,001,00,U,290,001,13,12,I
02,AZ0070300,6V-IYBY63U72,20070122,F,1,001,01,B,13C,001,21,32,I
02,AZ0070300,5N-UFZ758AEM,20070927,F,3,002,00,U,13C,002,20,42,I
02,AZ0070500,13-MQHM1-X I,20070120,F,1,002,02,M,13A,002,13,12,I
02,AZ0070500,8L-45SE8 39G,20070203,F,1,001,01,W,290,001,18,12,I
02,AZ0070500,13-MAVF17X I,20070312,F,1,001,01,W,13A,001,18,41,I
02,AZ0070500,4 -ZTSI4X0W5,20070418,F,2,001,01,W,13C,001,22,12,I
02,AZ0071100,02-HPU708X0W,20070114,F,1,000,00,U,290,001,04,25, 
02,AZ0071100,02-HPU706XJN,20070521,F,2,001,06,W,13A,001,13,12,I
02,AZ0071100,02-HPU707C64,20070603,F,2,000,00,U,290,001,13,12, 
02,AZ0071100,13-MQ-F19G6K,20070609,F,2,001,00,U,290,001,18,21,I
02,AZ0071100,13-MQ-F19W8A,20070618,F,2,000,00,U,290,001,25,12, 
02,AZ0071100,13-MQ-F1FF1H,20071031,F,4,000,00,U,290,001,13,12, 
02,AZ0071100,2Z-J4KO2URSL,20071203,F,4,001,02,W,13B,001,22,25,I
02,AZ0071300,7O1N7 JMQ-F3,20070126,F,1,001,00,U,290,001,20,12,I
02,AZ0071300,5N1-53SD1AEM,20070128,F,1,001,00,U,290,001,20,12,I
02,AZ0071300,3P123PWRVSCT,20070130,F,1,001,01,W,13A,001,18,32,I
02,AZ0071300,5N2675UD1AEM,20070227,F,1,002,01,W,13B,002,13,12,I
02,AZ0071300,773XBXIMQ-F3,20070401,F,2,001,01,B,13A,001,13,14,I
02,AZ0071300,2Z4XW24Q-F39,20070409,F,2,000,00,U,290,001,10,12, 
02,AZ0071300,6V6EYV6HPU72,20070529,F,2,001,00,U,290,001,18,12,I
02,AZ0071300,7O77KX MQ-F3,20070620,F,2,001,01,B,13C,001,20,24,I
02,AZ0071300,3P-1WNH3KSCT,20070828,F,3,000,00,U,290,001,04,25, 
02,AZ0071300,5N--7P95JAEM,20070901,F,3,003,04,W,13C,003,21,12,I
