state,agency,ID,date,source,quarter,number_of_victims,total_offenders,offenders_race,offense_type,number_of_group_victims,location,motivation,victim_type
01,AL0010200,5F10-49 I4VS,20150306,F,1,001,01,W,13B,001,20,12,I
01,AL0010200,5F10-1A0U75S,20150618,F,2,001,02,B,290,001,13,11,I
01,AL0010200,5F10-1K5ZW2S,20150715,F,3,001,01,B,290,001,20,41,I
01,AL0010200,5F10-28N4L6S,20151107,F,4,001,00,U,13B,001,20,12,I
01,AL0010200,5F10-29P4Y-S,20151126,F,4,002,01,B,13B,002,13,41,I
01,AL0011200,2W1U0U7 UG0I,20150422,N,2,001,01,W,13A,001,09,12,I
01,AL0011200,2W1U0U7OZG8 ,20150718,N,3,001,01,W,13C,001,13,12,I
01,AL0011200,2W1U0U7VZ4K ,20150624,N,2,001,01,W,13C,001,13,12,I
01,AL0011200,2W1U0U7V72J4,20150630,N,2,001,02,W,13C,001,20,12,I
01,AL0040100,8B0VKBS912 N,20150421,F,2,001,01,W,13C,001,13,12,I
02,AZ0030700,HM5U7N621AEM,20150622,F,2,001,01,U,290,001,24,41,I
02,AZ0050000,UG1H9WLHZL6X,20150308,F,1,000,03,M,220,001,20,22, 
02,AZ0070000,8B0BRFTH72 N,20150106,F,1,001,00,U,13C,001,18,12,I
02,AZ0070100,C064H03RVSCT,20151111,F,4,001,00,U,290,001,20,12,I
02,AZ0070100, K164SIABMAS,20151218,F,4,000,02,A,290,001,04,24, 
02,AZ0070500,FN74XN5MQ-F3,20150716,F,3,001,02,W,220,002,05,11,I
02,AZ0070700,QM5UXZLG AEM,20150427,F,2,001,00,U,290,001,20,21,I
02,AZ0071100,C000W5HP-K3T,20150103,N,1,000,00,U,290,001,50,12, 
02,AZ0071100,3J0J4KOCXD29,20150209,N,1,001,00,U,13C,001,13,12,I
02,AZ0071100,7I0IYBKYE-62,20150811,N,3,001,00,U,290,002,20,26,I
02,AZ0071100,FN0NJ4KAPR73,20150410,N,2,000,00,U,290,001,25,12, 
02,AZ0071300,3J1X2YMQ-F39,20150104,F,1,001,01,W,13C,001,21,24,I
02,AZ0071300,E53KPPSD1AEM,20150311,F,1,001,00,U,13C,001,20,12,I
02,AZ0071300,1H6HJB0CTD1A,20150507,F,2,001,01,W,13B,001,22,12,I
02,AZ0071300,3J6 R52Q-F39,20150523,F,2,001,01,W,13B,001,13,41,I
02,AZ0071300,EU1-53841AEM,20150826,F,3,001,01,W,13C,001,18,21,I
02,AZ0071300,3J12214E-F39,20150930,F,3,001,00,U,13C,001,18,12,I
02,AZ0071300,1H1I0KPVTD1A,20151123,F,4,001,01,W,13C,001,20,15,I
02,AZ0071300,838DEAPU 28N,20151231,F,4,001,00,U,13C,001,22,14,I
02,AZ0071700,2W1U0K72UX0A,20150120,F,1,001,01,W,13A,001,04,25,I
02,AZ0071700,Z81K2NHZB6I9,20150819,F,3,001,01,U,290,001,20,12,I
02,AZ0071700,Z81K2YLZXD-9,20151012,F,4,001,00,U,13C,001,20,12,I
02,AZ0071700,P9153 HP6RPT,20151226,F,4,001,01,W,13A,001,24,21,I
02,AZ0072300,2W1U0U72L4X8,20150101,F,1,002,01,W,13A,002,20,41,I
02,AZ0072300,2W1U0U72J7X8,20150101,F,1,001,01,B,13B,001,23,14,I
02,AZ0072300,2W1U0U7ZJ4 D,20150101,F,1,000,01,W,290,001,04,26, 
02,AZ0072300,2W1U0U7ZSN8X,20150105,F,1,003,01,W,13C,003,20,12,I
02,AZ0072300,2W1U0U7P86TW,20150105,F,1,000,00,U,290,001,04,26, 
02,AZ0072300,2W1U0U7PU2BD,20150107,F,1,000,00,U,290,001,04,25, 
02,AZ0072300,2W1U0U7 8X0X,20150107,F,1,001,01,B,13C,001,20,41,I
02,AZ0072300,2W1U0U7 72J4,20150110,F,1,000,00,U,290,001,05,21, 
02,AZ0072300,2W1U0U7NLN2N,20150109,F,1,001,01,W,13A,001,08,32,I
02,AZ0072300,2W1U0U7NLYTW,20150107,F,1,001,00,U,290,001,20,12,I
02,AZ0072300,2W1U0U7V940D,20150111,F,1,001,01,W,13C,001,20,12,I
02,AZ0072300,2W1U0U7LS20I,20150106,F,1,001,00,U,290,001,18,42,I
02,AZ0072300,2W1U0U7U84J4,20150115,F,1,002,02,W,13A,002,20,12,I
02,AZ0072300,2W1U0UF27GBW,20150120,F,1,000,00,U,290,001,25,21, 
02,AZ0072300,2W1U0UF39X R,20150118,F,1,001,01,W,13A,001,13,42,I
02,AZ0072300,2W1U0UFP86JO,20150121,F,1,001,01,W,13C,001,21,12,I
02,AZ0072300,2W1U0UFPL4JI,20150121,F,1,000,00,U,290,001,06,12, 
02,AZ0072300,2W1U0UFNZGKD,20150125,F,1,001,01,B,13B,001,25,41,I
02,AZ0072300,2W1U0UFVUC6D,20150126,F,1,001,02,W,290,001,20,12,I
02,AZ0072300,2W1U0UFVZL6N,20150127,F,1,001,01,W,13B,001,22,12,I
02,AZ0072300,2W1U0UFOLCTD,20150128,F,1,000,00,U,290,001,25,12, 
02,AZ0072300,2W1U0UFUU66O,20150201,F,1,000,00,U,290,001,11,43, 
02,AZ0072300,2W1U0UFUJ6TW,20150131,F,1,001,01,U,13B,001,18,12,I
02,AZ0072300,2W1U0UO2IG 8,20150130,F,1,001,00,U,220,001,20,11,I
02,AZ0072300,2W1U0UO 8Y6 ,20150207,F,1,000,01,W,290,001,11,21, 
02,AZ0072300,2W1U0UO IXJ ,20150206,F,1,000,01,W,290,001,04,26, 
02,AZ0072300,2W1U0UON926X,20150208,F,1,000,01,W,290,001,25,21, 
02,AZ0072300,2W1U0UONLCT8,20150207,F,1,000,00,U,290,001,11,21, 
02,AZ0072300,2W1U0UOV92J ,20150210,F,1,001,01,W,13B,001,13,12,I
02,AZ0072300,2W1U0UOOJ76W,20150124,F,1,000,00,U,290,001,04,43, 
02,AZ0072300,2W1U0UOO620X,20150201,F,1,001,01,B,13B,001,01,11,I
02,AZ0072300,2W1U0UOLSGJN,20150213,F,1,003,01,W,13C,003,20,25,I
02,AZ0072300,2W1U0UOL766 ,20150214,F,1,004,01,M,13A,004,18,15,I
02,AZ0072300,2W1U0UOU6YXN,20150215,F,1,001,01,W,13A,001,18,32,I
02,AZ0072300,2W1U0UH2S2  ,20150216,F,1,002,01,W,13C,002,20,12,I
02,AZ0072300,2W1U0UH38YB8,20150220,F,1,000,00,U,290,001,22,41, 
02,AZ0072300,2W1U0UH39YJO,20150213,F,1,001,00,U,13C,001,25,51,I
02,AZ0072300,2W1U0UH39CTN,20150217,F,1,002,01,W,13C,002,20,41,I
02,AZ0072300,2W1U0UH3J6 N,20150218,F,1,001,01,B,13B,001,05,41,I
02,AZ0072300,2W1U0UH37NJW,20150218,F,1,001,01,W,13C,001,20,33,I
02,AZ0072300,2W1U0UHP9X N,20150220,F,1,001,01,B,13C,001,08,32,I
02,AZ0072300,2W1U0UHP6G6W,20150221,F,1,001,01,W,290,001,20,12,I
02,AZ0072300,2W1U0UH 84 R,20150221,F,1,001,00,U,290,001,18,41,I
02,AZ0072300,2W1U0UH J2JD,20150222,F,1,002,02,I,13B,002,01,13,I
02,AZ0072300,2W1U0UHNUC2W,20150223,F,1,000,00,U,290,001,25,21, 
02,AZ0072300,2W1U0UHVL42 ,20150225,F,1,001,01,W,13C,001,20,12,I
02,AZ0072300,2W1U0UHVIY04,20150225,F,1,000,00,U,290,001,22,12, 
02,AZ0072300,2W1U0UHOI464,20150227,F,1,002,01,W,13B,002,25,41,I
02,AZ0072300,2W1U0UHOSCJ4,20150227,F,1,001,01,U,13B,001,18,52,I
02,AZ0072300,2W1U0UHL9X6W,20150301,F,1,001,01,B,13B,001,09,33,I
02,AZ0072300,2W1U0UHL76JR,20150301,F,1,001,02,B,13B,001,18,11,I
02,AZ0072300,2W1U0UX287XX,20150302,F,1,001,01,I,13A,001,20,12,I
02,AZ0072300,2W1U0UX3Z2TI,20150305,F,1,002,01,M,13A,002,13,11,I
02,AZ0072300,2W1U0UX36Y2I,20150305,F,1,001,02,W,13B,001,01,12,I
02,AZ0072300,2W1U0UXZ8L X,20150306,F,1,001,01,M,13B,001,22,41,I
02,AZ0072300,2W1U0UXZ8XXW,20150305,F,1,001,01,M,290,001,20,12,I
02,AZ0072300,2W1U0UXP82 4,20150307,F,1,002,01,W,13C,002,20,41,I
02,AZ0072300,2W1U0UXPUN 4,20150307,F,1,001,01,W,13A,001,10,12,I
02,AZ0072300,2W1U0UXNUY6D,20150310,F,1,002,06,B,120,002,18,11,I
02,AZ0072300,2W1U0UXOL4B ,20150313,F,1,001,01,W,13B,001,20,32,I
02,AZ0072300,2W1U0UXLJCJ ,20150315,F,1,001,01,M,13C,001,20,41,I
02,AZ0072300,2W1U0UXL6LT8,20150315,F,1,001,01,B,13B,001,20,11,I
02,AZ0072300,2W1U0U82ZXB4,20150318,F,1,001,01,M,13A,001,25,51,I
