state,agency,ID,date,source,quarter,number_of_victims,total_offenders,offenders_race,offense_type,number_of_group_victims,location,motivation,victim_type
01,AL0011200,2W100U7 S428,20130423,N,2,001,02,M,13C,001,21,41,I
01,AL0040100,860 KOSRS2 N,20130311,D,1,001,01,W,13A,001,18,12,I
01,AL0040100,860AAYS9S2 N,20130823,D,3,001,01,W,13B,001,22,12,I
01,AL0410100,860QRVBV62 N,20130404,D,2,001,01,U,13B,001,21,12,I
01,AL0410100,191H0KO JD1A,20131019,D,4,001,01,U,23*,001,08,15,I
01,AL0630100,860AROMRT2 N,20130801,D,3,001,01,W,13A,001,20,12,I
02,AZ0010100,3A111E586X I,20130630,F,2,001,01,W,13B,001,13,32,I
02,AZ0020000, T1N1M9L6X I,20131103,F,4,001,00,U,290,001,04,25,I
02,AZ0039700,8604SOEU72 N,20131214,F,4,001,01,W,13C,001,18,42,I
02,AZ0070000,FP1X7D1HQ-F3,20131031,F,4,001,03,M,13A,001,15,24,I
02,AZ0070000,191W0-POTD1A,20131201,F,4,002,00,U,13C,002,20,12,I
02,AZ0070100,860QIWZU72 N,20130122,F,1,003,03,W,13C,003,13,12,I
02,AZ0070100,C331W84RVSCT,20130601,F,2,001,01,W,13A,001,20,12,I
02,AZ0070100,C339HOHRVSCT,20130714,F,3,003,02,W,13C,003,13,32,I
02,AZ0070100,WN46O4I9G0W5,20130816,F,3,001,00,U,290,001,20,12,I
02,AZ0070100,E05-O UD1AEM,20130911,F,3,001,00,U,220,001,20,12,I
02,AZ0070700,860AKWRL72 N,20130819,F,3,002,02,W,13A,002,13,11,I
02,AZ0071100,WN0ZL6X8NR45,20130119,N,1,001,01,W,13C,001,25,12,I
02,AZ0071300,C-183PBRVSCT,20130106,F,1,001,01,M,13A,001,20,12,I
02,AZ0071300,3U2B 2IQ-F39,20130314,F,1,001,00,U,290,001,20,33,I
02,AZ0071300,FP72KO5MQ-F3,20130819,F,3,001,00,U,290,001,25,24,I
02,AZ0071300,868GSV5U 28N,20130908,F,3,002,02,M,13A,002,18,24,I
02,AZ0071300,WN9B4S29G0W5,20130925,F,3,001,00,U,290,001,20,21,I
02,AZ0071300,191H0OKUTD1A,20131020,F,4,001,01,W,13C,001,13,12,I
02,AZ0071300,191H0H82TD1A,20131020,F,4,001,02,U,13A,001,20,41,I
02,AZ0071500,3A111VQUUX I,20130227,F,1,001,00,U,290,001,18,42,I
02,AZ0071500, K144D- D0W5,20130726,F,3,001,00,U,290,001,20,41,I
02,AZ0071700,2W100582SC0A,20130204,F,1,000,00,U,290,001,04,26, 
02,AZ0071700,2W100282820A,20130224,F,1,001,00,U,290,001,20,12,I
02,AZ0072300,2W100U7ZJY2D,20130105,F,1,001,00,U,290,001,25,12,I
02,AZ0072300,2W100U7PZG2I,20130107,F,1,002,01,W,13C,002,13,12,I
02,AZ0072300,2W100U7L9N0I,20130115,F,1,001,01,W,13A,001,13,12,I
02,AZ0072300,2W100UFOLGJO,20130129,F,1,001,01,B,13B,001,22,32,I
02,AZ0072300,2W100UFOLG8I,20130129,F,1,001,01,W,13A,001,13,11,I
02,AZ0072300,2W100UFOLXXR,20130129,F,1,001,01,W,13C,001,25,12,I
02,AZ0072300,2W100UO3IN88,20130205,F,1,001,00,U,13C,001,25,12,I
02,AZ0072300,2W100UO3620W,20130206,F,1,000,00,U,290,001,04,26, 
02,AZ0072300,2W100UOZ7G2I,20130207,F,1,001,01,W,13C,001,18,12,I
02,AZ0072300,2W100UOV7X68,20130214,F,1,002,01,W,13C,002,24,12,I
02,AZ0072300,2W100UOOLXXX,20130214,F,1,001,01,B,13B,001,18,32,I
02,AZ0072300,2W100UOL87KR,20130216,F,1,001,01,W,13A,001,13,12,I
02,AZ0072300,2W100UOLZNJW,20130217,F,1,002,01,W,13A,003,03,41,I
02,AZ0072300,2W100UH29LJW,20130219,F,1,001,00,U,13B,001,07,12,I
02,AZ0072300,2W100UHPZN2I,20130225,F,1,001,01,W,13C,001,25,12,I
02,AZ0072300,2W100UHN6N6I,20130228,F,1,001,00,U,13C,001,04,26,I
02,AZ0072300,2W100UXNZGJO,20130315,F,1,001,01,W,13C,001,13,12,I
02,AZ0072300,2W100U829GK ,20130322,F,1,002,01,W,13C,002,20,32,I
02,AZ0072300,2W100U82ICTD,20130323,F,1,001,00,U,290,001,20,21,I
02,AZ0072300,2W100U8Z6GKW,20130326,F,1,001,00,U,290,001,20,21,I
02,AZ0072300,2W100U8 LCXO,20130329,F,1,001,00,U,13B,001,20,41,I
02,AZ0072300,2W100U8 J4X4,20130329,F,1,002,01,W,13C,002,25,41,I
02,AZ0072300,2W100U8 S6BI,20130328,F,1,001,00,U,13C,001,20,24,I
02,AZ0072300,2W100U8N8LTX,20130330,F,1,001,00,U,290,001,20,26,I
02,AZ0072300,2W100U8NZLT8,20130331,F,1,001,01,W,13C,001,20,12,I
02,AZ0072300,2W100URPZX2I,20130412,F,2,005,01,W,13A,005,24,32,I
02,AZ0072300,2W100UR Z7J8,20130412,F,2,001,03,B,120,001,18,32,I
02,AZ0072300,2W100UR 6YBI,20130413,F,2,001,01,W,13A,001,12,33,I
02,AZ0072300,2W100URVSCBW,20130416,F,2,001,00,U,290,001,20,32,I
02,AZ0072300,2W100UK2L42R,20130420,F,2,001,02,U,120,001,13,41,I
02,AZ0072300,2W100UK S4JW,20130428,F,2,001,01,W,13B,001,25,26,I
02,AZ0072300,2W100UKULN0N,20130505,F,2,001,05,U,13B,001,25,41,I
02,AZ0072300,2W100UZ2L4KW,20130505,F,2,000,00,U,290,001,04,25, 
02,AZ0072300,2W100UZ38G84,20130507,F,2,001,01,W,290,001,25,41,I
02,AZ0072300,2W100UZUIG28,20130520,F,2,002,00,U,13A,002,20,12,I
02,AZ0072300,2W100UPP92X4,20130526,F,2,001,01,I,290,001,13,12,I
