state,agency,ID,date,source,quarter,number_of_victims,total_offenders,offenders_race,offense_type,number_of_group_victims,location,motivation,victim_type
01,AL0300100,411C4Z39G0W5,20060916,D,3,001,01,W,13C,001,21,12,I
02,AZ0010100,CI0GXOQH12 N,20060913,F,3,001,01,W,13C,001,21,12,I
02,AZ0030100,5G6F5I9-HCTD,20060408,F,2,001,02,W,13B,001,12,12,I
02,AZ0070000,5I125U7X1AEM,20060918,F,3,001,00,U,290,001,14,12,I
02,AZ0070000,6-136DIMPU72,20061007,F,4,001,00,U,290,001,20,11,I
02,AZ0070000,0X1404R2TD1A,20061029,F,4,000,00,U,220,001,21,32, 
02,AZ0070500, 3-1-OQ 728N,20060106,F,1,001,01,W,13B,001,18,12,I
02,AZ0070500, 30BRM39S2 N,20060113,F,1,001,00,U,290,001,20,12,I
02,AZ0070500, 30DEW5C72 N,20060704,F,3,001,00,U,290,001,25,15,I
02,AZ0070500, 30AAMBQ72 N,20060714,F,3,001,00,U,13C,001,13,12,I
02,AZ0070500,9L1W9MWBSCTD,20060914,F,3,001,00,U,13A,001,13,12,I
02,AZ0070500,41-PRQS460W5,20061024,F,4,001,00,U,13C,001,13,12,I
02,AZ0070500,8C-WNJC8R39G,20061109,F,4,001,01,W,13A,001,22,12,I
02,AZ0071100,0X-HPU70IYJN,20060318,F,1,001,00,U,290,001,11,15,I
02,AZ0071100,7V0NJ4KA6X73,20060425,F,2,001,00,U,13C,001,22,21,I
02,AZ0071100,5I0U728C D5M,20060429,F,2,001,00,U,290,001,20,41,I
02,AZ0071300,9L-98U79SCTD,20060430,F,2,001,01,W,13C,001,20,12,I
02,AZ0071300,2S-B JJ2-F39,20060416,F,2,002,01,W,13C,002,20,32,I
02,AZ0071300,9L-HO449SCTD,20060515,F,2,001,02,W,13C,001,20,41,I
02,AZ0071300,41-6OOC4G0W5,20060526,F,2,001,02,B,13B,001,18,32,I
02,AZ0071300, 30BRWRV72 N,20060926,F,3,002,00,U,290,002,20,12,I
02,AZ0071300, 38D-EEU 28N,20060804,F,3,001,01,W,13A,001,18,32,I
02,AZ0071300,8C1 8LKBF39G,20061107,F,4,001,00,U,290,001,20,12,I
02,AZ0071300,2S122IHB-F39,20061113,F,4,002,01,W,13C,002,22,15,I
02,AZ0071700,VX03Y EVZR62,20060206,F,1,000,00,U,290,001,09,12, 
02,AZ0071700,2W0IP6R2ZL0A,20060215,F,1,001,02,W,13A,001,21,12,I
02,AZ0071700,VX03YVEVEC62,20060227,F,1,002,00,U,13C,002,20,12,I
02,AZ0072100,12-MQ-S1-X I,20060101,F,1,001,00,U,290,001,22,12,I
