state,agency,ID,date,source,quarter,number_of_victims,total_offenders,offenders_race,offense_type,number_of_group_victims,location,motivation,victim_type
01,AL0011200,2W1H0U7Z86BD,20100414,N,2,001,01,W,13C,001,13,12,I
01,AL0011200,2W1H0U7O7N2O,20101105,N,4,001,01,B,13C,001,08,26,I
01,AL0080000,2W1H0B7LID1A,20100603,D,2,001,01,W,13C,001,20,32,I
01,AL0080100,380T4KOZLR2A,20100613,D,2,000,00,U,290,001,23,33, 
01,AL0120200,1W1J0UXO8D1A,20101216,D,4,001,01,W,13C,001,23,12,I
01,AL0160000,8I01RVZ-V2 N,20100218,D,1,002,04,B,09A,002,20,25,I
01,AL0340400,2W1H0UXUUL1A,20100328,D,1,005,01,W,13C,005,20,12,I
01,AL0470200,WN0BRES-G2 N,20100812,D,3,001,00,U,13C,001,20,12,I
01,AL0520100,2W1H047Z7GJ4,20100723,D,3,001,00,U,13B,001,20,12,I
01,AL0520100,3A1M1-F89F1H,20101010,D,4,001,03,B,13B,001,20,41,I
01,AL0520100,3A1M1-F8TJ8H,20101019,D,4,001,02,U,13B,001,20,33,I
01,AL0580700,1A0BQVF-ZL1X,20101026,D,4,001,01,W,13C,001,01,12,I
01,AL0610200,VF1U-08PMRVS,20100501,D,2,001,01,W,13C,001,08,41,I
01,AL0630000,8I0IRO5C72 N,20100901,D,3,001,01,W,13C,001,13,12,I
01,AL0630000,8I0GIFSL72 N,20100616,D,2,001,01,B,13B,001,20,11,I
01,AL0630000,8I0GIFZR72 N,20100616,D,2,001,01,W,13B,001,20,12,I
01,AL0630000,8I0QRFBR72 N,20100405,D,2,001,00,U,13C,001,13,12,I
01,AL0630000,8I0QRFZ-72 N,20100402,D,2,001,01,W,13B,001,13,12,I
01,AL0640100,1M1B1-F37X I,20100511,D,2,001,01,W,13C,001,05,12,I
02,AZ0010500,8I-BSAM 728N,20100521,F,2,001,02,U,290,001,13,41,I
02,AZ0030100,RN04YMMD72 N,20101014,F,4,003,04,W,13A,002,03,43,I
02,AZ0070000,8I040VE972 N,20100126,F,1,004,00,U,13C,004,20,12,I
02,AZ0070000,381J2YHR-F39,20100608,F,2,000,00,U,290,001,25,21, 
02,AZ0070000,381B2KBR-F39,20100808,F,3,001,00,U,290,001,20,25,I
02,AZ0070000, A1W1EFC6X I,20101008,F,4,001,00,U,290,001,20,12,I
02,AZ0070000, A1W1EFH6X I,20101008,F,4,001,00,U,290,001,20,12,I
02,AZ0070000, A1W1ESP6X I,20101008,F,4,001,00,U,290,001,20,12,I
02,AZ0070000, A1W1ES-6X I,20101008,F,4,000,00,U,290,001,13,12, 
02,AZ0070000,9N24I8CLF39G,20101110,F,4,000,00,U,290,001,11,12, 
02,AZ0070100, A1G14SL6X I,20100325,F,1,003,02,U,13B,003,10,12,I
02,AZ0071300,1A BUHMC6X I,20100604,F,2,001,00,U,290,001,20,21,I
02,AZ0071300,1A -R35P6X I,20100417,F,2,001,01,W,290,009,20,12,I
02,AZ0071300,1A -R3Q86X I,20100422,F,2,001,01,W,13A,001,13,12,I
02,AZ0071300,1A NWHQ36X I,20100626,F,2,001,01,W,13A,001,18,41,I
02,AZ0071300,F26XKO7MQ-F3,20100712,F,3,001,00,U,290,001,20,21,I
02,AZ0071300,F27LTINMQ-F3,20100808,F,3,001,01,W,13C,001,13,32,I
02,AZ0071300,8I8GYCBU 28N,20100904,F,3,001,00,U,290,001,20,32,I
02,AZ0071300,1W1H04X2TD1A,20101005,F,4,001,01,W,13B,001,22,12,I
02,AZ0071300, A1M1MK-6X I,20101015,F,4,001,01,W,13B,001,20,15,I
02,AZ0071300,9N1W8HZMF39G,20101130,F,4,002,01,W,13A,002,20,12,I
02,AZ0071300,F29C7OYMQ-F3,20101001,F,4,001,02,B,13B,001,22,24,I
02,AZ0071300,9N9I8IE-F39G,20101006,F,4,001,00,U,290,001,20,12,I
02,AZ0071300,TG9G9IKVSCTD,20101010,F,4,001,01,W,13B,001,20,12,I
02,AZ0071700,2W1H06Z2ILJA,20100217,F,1,001,00,U,13C,001,20,12,I
02,AZ0071700,2W1H0H72SC0A,20100331,F,1,001,02,W,13B,001,01,12,I
02,AZ0071700,3A1M1HF3PW8I,20100629,F,2,000,00,U,290,001,22,12, 
02,AZ0071700,3A1M1HQ3U74I,20100708,F,3,001,00,U,290,001,20,12,I
02,AZ0071700,Z81J2ZLZUSL9,20100912,F,3,000,00,U,290,001,04,25, 
02,AZ0071700,Z81J2 SZR6L9,20101001,F,4,002,00,U,13C,002,20,14,I
02,AZ0071700,Z81J2YHZK7L9,20101008,F,4,000,00,U,290,002,13,12, 
02,AZ0072100,8I0B0A5R72 N,20100518,F,2,001,04,W,13C,001,18,12,I
02,AZ0072100,5F19-0A ZK2S,20101123,F,4,001,01,W,13C,001,22,12,I
02,AZ0072300,2W1H0U7P82BW,20100106,F,1,002,01,W,13C,002,20,41,I
02,AZ0072300,2W1H0U7L97B8,20100116,F,1,000,00,U,290,001,24,26, 
02,AZ0072300,2W1H0UF2SY2N,20100120,F,1,022,02,B,13A,022,03,41,I
