state,agency,ID,date,source,quarter,number_of_victims,total_offenders,offenders_race,offense_type,number_of_group_victims,location,motivation,victim_type
01,AL0011200,2W1J0U739GT8,20120202,N,1,001,01,B,13B,001,25,32,I
01,AL0011200,2W1J0U7Z96 4,20120303,N,1,001,00,U,290,001,20,12,I
01,AL0011200,2W1J0U7PZ2 R,20120418,N,2,001,01,B,23H,001,08,26,I
01,AL0011200,2W1J0U7 L6JX,20120430,N,2,000,01,W,35A,001,22,25, 
01,AL0011200,2W1J0U7P7C8D,20120405,N,2,001,01,W,13C,001,13,12,I
01,AL0011200,2W1J0U7L6NXN,20120825,N,3,000,00,U,290,001,20,12, 
02,AZ0021300,8T0 ROM972 N,20120301,F,1,003,01,M,13A,003,22,52,I
02,AZ0030100,8T0G1FBU72 N,20120420,F,2,001,01,W,13B,001,21,41,I
02,AZ0030100, 91B1EFL6X I,20120623,F,2,001,01,W,13C,001,03,14,I
02,AZ0030100,EJ2UR57D1AEM,20121101,F,4,001,00,U,13C,001,04,25,I
02,AZ0030100,7S2NM6EHPU72,20121113,F,4,001,02,W,290,001,20,21,I
02,AZ0030100,7S2NR60HPU72,20121115,F,4,001,00,U,13C,001,22,45,I
02,AZ0039700,8T0BEY3U72 N,20120827,F,3,001,00,U,13C,001,20,33,I
02,AZ0039700,8T0BYVZU72 N,20120908,F,3,002,00,U,13C,002,20,41,I
02,AZ0070000,8T0VIBBR72 N,20120328,F,1,001,00,U,290,001,18,15,I
02,AZ0070000,181Z0UPLTD1A,20120805,F,3,001,00,U,290,001,20,12,I
02,AZ0071100, 90MQ-FUNW1I,20120516,N,2,000,00,U,290,001,25,12, 
02,AZ0071100,7S0IYBKBSD62,20121126,N,4,001,00,U,290,001,13,12,I
02,AZ0071300,8T04AMTM72 N,20120206,F,1,003,01,W,13A,003,18,32,I
02,AZ0071300,FZ76 NNMQ-F3,20120725,F,3,000,00,U,290,001,04,22, 
02,AZ0071300,FZ7YKI1MQ-F3,20120727,F,3,001,01,W,13C,001,20,41,I
02,AZ0071300,8T81AA5U 28N,20120821,F,3,001,01,W,13C,001,25,11,I
02,AZ0071300,8T8VEWBU 28N,20120831,F,3,001,01,W,13B,001,20,12,I
02,AZ0071300,CU1235JYVSCT,20121214,F,4,001,01,U,13A,001,18,41,I
02,AZ0071300,7S1T64KFPU72,20121221,F,4,000,00,U,220,001,04,25, 
02,AZ0071300,CU983OWRVSCT,20121005,F,4,001,02,W,13A,001,14,32,I
02,AZ0071700,P91235UP58PT,20121031,F,4,001,01,W,13C,001,22,21,I
02,AZ0071700,P9123P0PKHZT,20121218,F,4,000,00,U,290,001,04,25, 
02,AZ0071900,2W1J0UXVI41A,20120324,F,1,001,00,U,290,001,20,21,I
02,AZ0072300,2W1J0U7PLLB4,20120106,F,1,000,00,U,290,001,13,21, 
02,AZ0072300,2W1J0U7PUYXI,20120104,F,1,001,00,U,13C,001,22,32,I
