state,agency,ID,date,source,quarter,number_of_victims,total_offenders,offenders_race,offense_type,number_of_group_victims,location,motivation,victim_type
01,AL0011200,3A0AQ-FC9U1G,20090306,N,1,002,01,W,13C,002,20,12,I
01,AL0011200,NH0H728Y0D5O,20090830,N,3,001,00,U,290,001,20,15,I
01,AL0011200,3A0AQ-F8U31K,20090907,N,3,001,00,U,290,001,20,41,I
01,AL0011200,LN0NKOZR6L8I,20090505,D,2,001,01,W,13C,001,07,12,I
01,AL0020100,2W990-W28Y64,20090104,D,1,000,00,U,290,001,04,21, 
01,AL0130300,NH0H7 8NJW5M,20090419,D,2,001,01,W,13C,001,21,43,I
01,AL0260100, X0VXVMV12 N,20090508,D,2,001,00,U,200,001,10,12,I
01,AL0590400, X0ARF3DV2 N,20090826,D,3,001,01,W,13C,001,20,12,I
01,AL0640100,9W2X59P-KCTD,20090526,D,2,001,01,W,290,001,05,12,I
02,AZ0020900, X-G0AZ 728N,20090222,F,1,001,00,U,13B,001,13,11,I
02,AZ0020900,82- 5BB8F39G,20090610,F,2,000,00,U,290,001,05,33, 
02,AZ0039700,NZ9H06P3TD1A,20090404,F,2,001,00,U,13C,001,20,52,I
02,AZ0070000, X0VYFRC72 N,20090402,F,2,001,00,U,13C,001,20,12,I
02,AZ0070000, X0GYB5Q72 N,20090417,F,2,001,00,U,13B,001,13,32,I
02,AZ0070000, X0AAFMC72 N,20090505,F,2,001,01,I,13B,001,15,32,I
02,AZ0070000, X0A0EBD72 N,20090510,F,2,003,02,W,13A,002,16,32,I
02,AZ0070000,6L136BIOPU72,20090906,F,3,001,00,U,290,001,20,21,I
02,AZ0070000,6L1364RVPU72,20090906,F,3,001,00,U,290,001,20,11,I
02,AZ0070000, K0KJ7V86R45,20090911,F,3,001,00,U,290,001,22,12,I
02,AZ0070000,3F22W3NJVSCT,20091201,F,4,000,00,U,290,001,22,12, 
02,AZ0070100, X04YYZU72 N,20090110,F,1,001,00,U,220,001,20,32,I
02,AZ0070100, X0 KCSU72 N,20090116,F,1,001,00,U,290,001,20,12,I
02,AZ0070100, X0V-FQU72 N,20090127,F,1,001,01,B,13B,001,20,32,I
02,AZ0070100,7U4GJ7YMQ-F3,20090713,F,3,001,00,U,290,001,20,12,I
02,AZ0070300,0G1M0-73ZD1A,20091101,F,4,000,00,U,290,001,11,33, 
02,AZ0070500, X01KVT-72 N,20090220,F,1,001,00,U,13C,001,22,21,I
02,AZ0070500, X0V0V5-72 N,20090511,F,2,001,00,U,290,001,25,21,I
02,AZ0071300,7U27 7 MQ-F3,20090306,F,1,001,01,W,13C,001,20,12,I
02,AZ0071300,829X8JQ-F39G,20090127,F,1,001,00,U,290,001,18,21,I
02,AZ0071300,7U46J7KMQ-F3,20090424,F,2,001,00,U,290,001,20,15,I
02,AZ0071300,4J4EM4I9G0W5,20090506,F,2,001,02,I,120,001,25,32,I
02,AZ0071300,6L4X 6YHPU72,20090515,F,2,001,01,W,13B,001,18,41,I
02,AZ0071300,2762852Q-F39,20090618,F,2,001,00,U,290,001,24,21,I
02,AZ0071300,7U72JW1MQ-F3,20090730,F,3,001,00,U,290,001,20,32,I
02,AZ0071300, X8BEYZU 28N,20090805,F,3,001,01,W,13A,001,21,41,I
02,AZ0071300, X8ASOSU 28N,20090826,F,3,001,00,U,290,001,18,12,I
02,AZ0071300,4J9B4D19G0W5,20090906,F,3,001,02,W,13C,001,20,12,I
02,AZ0071300,1D-BQMH10X I,20091022,F,4,001,00,U,13C,001,20,12,I
02,AZ0071700,P909WGIPBR3T,20090205,F,1,001,01,W,13B,001,10,32,I
