state,agency,ID,date,source,quarter,number_of_victims,total_offenders,offenders_race,offense_type,number_of_group_victims,location,motivation,victim_type
12,ILCPD0000,AT6B5H U728N,20140810,F,3,001,01,B,13A,001,13,41,I
12,ILCPD0000,AT6 5H U728N,20140823,F,3,001,05,B,13B,001,13,41,I
12,ILCPD0000,FT11 HPU728N,20140918,F,3,007,00,U,290,007,13,12,I
12,ILCPD0000,RZ741AEMQ-F3,20141101,F,4,001,01,W,13B,001,13,41,I
12,ILCPD0000,RZ7L1AEMQ-F3,20141117,F,4,001,01,W,23*,001,25,33,I
12,ILCPD0000,SC0G5HPU72 N,20141208,F,4,003,01,W,290,003,20,12,I
12,ILCPD0000,SC0A5HPU72 N,20141205,F,4,001,00,U,290,001,13,12,I
12,ILCPD0000,SC14 HPU728N,20141218,F,4,001,06,B,13B,001,13,41,I
12,ILCPD0000,SC1  HPU728N,20141217,F,4,001,00,U,290,001,20,12,I
12,ILCPD0000,LE1W HPU728N,20140319,F,1,001,01,W,13A,001,13,12,I
12,ILCPD0000,AN8D5HPU 28N,20140408,F,2,001,01,B,290,001,13,43,I
12,ILCPD0000,AN9D HPU728N,20140430,F,2,001,04,W,13B,001,13,41,I
12,ILCPD0000,AN9A HPU728N,20140430,F,2,001,01,B,13B,001,53,41,I
12,ILCPD0000,CC4G5 PU728N,20140525,F,2,001,04,U,120,001,13,41,I
12,ILCPD0000,FT0I5HPU72 N,20140824,F,3,001,02,W,13B,001,18,33,I
12,ILCPD0000,FT14 HPU728N,20140915,F,3,001,03,B,13A,001,13,41,I
12,ILCPD0000,OJ5BSCTD1AEM,20140719,F,3,000,00,U,290,001,25,21, 
12,ILCPD0000,AT615H U728N,20140821,F,3,000,00,U,290,001,03,12, 
12,ILCPD0000,7130KOZL6X I,20140908,F,3,000,00,U,290,001,04,21, 
12,ILCPD0000,AX0B5HPU72 N,20140913,F,3,000,01,U,290,001,52,12, 
12,ILCPD0000,AX0V5HPU72 N,20140914,F,3,000,01,U,290,001,09,12, 
12,ILCPD0000,SC0Q5HPU72 N,20141227,F,4,000,03,U,290,001,04,21, 
12,ILCPD0000,X37C1AEMQ-F3,20140116,F,1,001,01,U,13C,001,13,12,I
12,ILCPD0000,GM5VSCTD1AEM,20140119,F,1,001,01,U,13C,001,21,11,I
12,ILCPD0000,LN6W5H U728N,20140216,F,1,001,01,B,13C,001,21,43,I
12,ILCPD0000,H37D1AEMQ-F3,20140217,F,1,001,01,B,13C,001,13,11,I
12,ILCPD0000,AN9I HPU728N,20140405,F,2,001,01,B,13C,001,20,33,I
12,ILCPD0000,FT0A5HPU72 N,20140521,F,2,001,01,W,13C,001,18,12,I
12,ILCPD0000,AT215 PU728N,20140601,F,2,001,01,W,13C,001,20,41,I
12,ILCPD0000,AT4V5 PU728N,20140622,F,2,002,01,B,13C,002,13,43,I
12,ILCPD0000,OJ55SCTD1AEM,20140702,F,3,001,01,B,13C,001,13,21,I
12,ILCPD0000,AD9  HPU728N,20140912,F,3,002,01,B,13C,002,20,42,I
12,ILCPD0000,RZ7X1AEMQ-F3,20141113,F,4,001,01,W,13C,001,07,24,I
12,ILCPD0000,SC0I5HPU72 N,20141218,F,4,001,00,U,13C,001,25,12,I
12,IL0020100,F611 HPU728N,20141128,F,4,005,01,W,13C,005,13,12,I
12,IL0090200,LI91 HPU728N,20140511,F,2,003,06,U,13A,003,20,27,I
12,IL0100000,YD6V5H U728N,20141023,F,4,001,01,B,13A,001,15,41,I
12,IL0100400,CB0W5HPU72 N,20140126,F,1,001,01,W,13C,001,20,12,I
12,IL0100600,L68A5HPU 28N,20140524,F,2,002,01,W,13C,002,20,12,I
12,IL0100700,R43E-F39G0W5,20140821,F,3,003,03,W,13A,003,13,24,I
12,IL016AC9E,YX0A5HPU72 N,20140805,D,3,001,00,U,23*,001,52,11,I
12,IL0160200,8I0 1HPU72 N,20141115,F,4,001,00,U,290,001,18,21,I
12,IL0160500,LI9G HPU728N,20140106,F,1,001,00,U,290,001,20,12,I
12,IL0162A00,8T2W5 PU728N,20140219,F,1,001,01,W,13A,001,21,12,I
12,IL0162B00,JM5VSCTD1AEM,20140531,F,2,001,01,W,13B,001,20,32,I
12,IL0163900,C394 HPU728N,20140616,F,2,001,01,U,13B,001,20,33,I
12,IL0165000,YI8 5HPU 28N,20140909,F,3,002,01,W,13C,002,20,12,I
12,IL0165200,FI4Q5 PU728N,20141010,F,4,001,01,W,13A,001,12,12,I
12,IL0165700,SE8A5HPU 28N,20141221,F,4,001,04,B,13A,001,13,11,I
12,IL0166300,YE245 PU728N,20140914,F,3,001,01,W,13A,001,20,43,I
12,IL0168000,L39V HPU728N,20140701,F,3,003,03,W,13B,002,18,12,I
12,IL0170200,8T4 5 PU728N,20140502,F,2,001,01,W,13C,001,20,12,I
12,IL0190800,8G AEMQ-F39G,20140124,F,1,001,01,W,13B,001,20,12,I
12,IL0190800,C691 HPU728N,20140620,F,2,001,02,B,13A,001,13,11,I
12,IL0220100,A66 5H U728N,20140802,F,3,001,01,W,13C,001,20,33,I
12,IL0221300,JU54SCTD1AEM,20141021,F,4,000,01,W,290,001,04,21, 
12,IL0221900,SC6 5H U728N,20141220,F,4,001,00,U,290,001,20,12,I
12,IL0290000,LB2W5 PU728N,20140101,F,1,001,01,W,13B,001,03,41,I
12,IL0290000,L30W5HPU72 N,20140129,F,1,002,01,W,13B,002,03,12,I
12,IL0450100,YI0V5HPU72 N,20140918,F,3,001,00,U,290,001,20,12,I
12,IL0450100,TI045HPU72 N,20141217,F,4,001,01,B,13B,001,13,42,I
12,IL0450100,YI015HPU72 N,20140803,F,3,003,01,W,13B,001,20,12,I
12,IL0450100,YI0G5HPU72 N,20140928,F,3,002,01,W,13C,002,20,32,I
12,IL0450200,K7371AEMQ-F3,20140328,F,1,001,01,W,13B,001,53,32,I
12,IL0470100,SD2D5 PU728N,20141205,F,4,001,02,W,13A,001,20,41,I
12,IL0480400,13 4KOZL6X I,20140313,F,1,002,01,W,13A,002,09,12,I
12,IL0490000,6I6 5H U728N,20141218,F,4,001,01,B,13C,001,11,11,I
12,IL0490500,CE9A HPU728N,20140616,F,2,001,00,U,290,001,20,21,I
12,IL0500100,EJ5VSCTD1AEM,20140321,F,1,001,02,W,13B,001,20,41,I
12,IL0560300,CC94 HPU728N,20140210,F,1,001,01,B,120,001,53,15,I
12,IL0570100,YD2B5 PU728N,20141027,F,4,004,01,W,13A,004,13,12,I
12,IL0570100,AN0G5HPU72 N,20140816,F,3,001,01,W,13A,001,03,41,I
12,IL0570100,8T2B5 PU728N,20140404,F,2,001,01,U,13C,001,53,42,I
12,IL0570200,SB4D5 PU728N,20140428,F,2,001,00,U,290,001,20,21,I
12,IL0570200,8U5-SCTD1AEM,20140810,F,3,001,01,W,13A,001,13,12,I
12,IL0601600,TX045HPU72 N,20140929,F,3,001,02,W,13B,001,23,12,I
12,IL0610200,T6845HPU 28N,20141109,F,4,001,01,W,13B,001,03,12,I
12,IL0610600,F73G1AEMQ-F3,20140422,F,2,001,01,W,13A,001,52,12,I
12,IL0680100,CN0A5HPU72 N,20140507,F,2,000,00,U,290,001,04,12, 
12,IL0720000,CB6 5H U728N,20140622,F,2,001,01,W,23*,001,20,12,I
12,IL0720000,A69I HPU728N,20140813,F,3,002,01,W,13C,002,23,32,I
12,IL0720000,SE0D5HPU72 N,20141225,F,4,002,01,W,13C,002,03,12,I
12,IL0720700,8D6B5H U728N,20140128,F,1,001,00,U,290,001,20,21,I
12,IL0720700,8D615H U728N,20140328,F,1,001,00,U,290,001,52,41,I
12,IL0821600,C30D5HPU72 N,20140623,F,2,002,00,U,290,002,20,12,I
12,IL0822500, 23XAEMQ-F39,20140828,F,3,003,02,B,13B,003,21,11,I
12,IL0840200,Y62G5 PU728N,20140914,F,3,001,02,W,13B,001,13,12,I
12,IL0840200,Y62D5 PU728N,20140924,F,3,001,04,W,13A,001,52,12,I
12,IL0990400,SB9I HPU728N,20141105,F,4,001,01,W,13C,001,14,12,I
12,IL0990700,YB815HPU 28N,20141029,F,4,001,02,W,13C,001,20,12,I
12,IL1010000,AI815HPU 28N,20140622,F,2,000,00,U,290,001,04,24, 
12,IL1010400,3I-JN5J2TF39,20140807,N,3,001,01,W,13C,001,15,32,I
12,IL1020200,3T  IYBRVSCT,20140410,F,2,001,01,W,13C,001,53,12,I
13,INIPD0000,P11Z0KFO6C1A,20140302,F,1,001,01,W,290,001,20,11,I
13,INIPD0000,P11Z0KOO8X1A,20140305,F,1,001,00,U,290,001,20,12,I
13,INIPD0000,P11Z05OV761A,20140329,F,1,002,01,B,13B,002,20,11,I
13,INIPD0000,P11Z05PVJG1A,20140416,F,2,001,01,W,13C,001,20,43,I
13,INIPD0000,P11Z06R3961A,20140501,F,2,001,01,W,13C,001,13,12,I
13,INIPD0000,P11Z02OVS41A,20140520,F,2,001,01,U,13C,001,52,43,I
13,INIPD0000,P11Z02XPJ61A,20140524,F,2,001,01,W,13C,001,20,32,I
13,INIPD0000,P11Z04XPSX1A,20140701,F,3,001,01,W,13C,001,20,12,I
13,INIPD0000,P11Z0OXZSX1A,20140814,F,3,001,03,B,13B,001,16,43,I
13,INIPD0000,P11Z0H7O6X1A,20140827,F,3,001,01,W,290,001,18,32,I
13,INIPD0000,P11Z0HOV8G1A,20140901,F,3,001,01,U,290,001,21,32,I
13,INIPD0000,Q 1P1-H-UL I,20140918,F,3,001,01,U,290,001,20,43,I
13,INIPD0000,Q 1P1-HO0F I,20140928,F,3,006,01,W,13C,006,13,24,I
13,INIPD0000,Q 1P1-HU7L I,20140928,F,3,001,02,B,13B,001,20,11,I
13,INIPD0000,Q 1P1VH-FG I,20141026,F,4,001,01,W,13C,001,13,32,I
13,INIPD0000,Q 1P15SOZ3 I,20141119,F,4,001,01,U,13C,001,20,24,I
13,INIPD0000,Q 1P15QOPD I,20141212,F,4,001,01,B,13B,001,13,24,I
13,INIPD0000,Q 1P1EFHNU I,20141216,F,4,000,01,U,290,001,09,12, 
13,INIPD0000,Q 1P1ESO-2 I,20141218,F,4,001,00,U,220,001,20,32,I
13,IN0020100,8EFBEFZ-P2 N,20140629,F,2,000,00,U,290,001,13,12, 
13,IN0020100,8EFBEASC12 N,20140704,F,3,000,00,U,290,001,50,15, 
