state,agency,ID,date,source,quarter,number_of_victims,total_offenders,offenders_race,offense_type,number_of_group_victims,location,motivation,victim_type
01,AL0011200,VX0DYBRO5R6X,20080407,N,2,001,01,W,13C,001,20,32,I
01,AL0011200,NH0O7287X 5Y,20080707,N,3,001,01,W,13B,001,20,41,I
01,AL0011200,UG0N5HP6OZ9N,20080904,N,3,001,01,U,13C,001,25,12,I
01,AL0011200,NH0O72846N5I,20081209,N,4,001,01,B,13C,001,13,11,I
01,AL0011200,UG0N5HP2PZ9X,20081217,N,4,001,00,U,13B,001,20,24,I
01,AL0011200,P908W5HY-83I,20081230,N,4,001,02,W,13C,001,20,25,I
01,AL0190200,2W04GUO58L08,20080208,D,1,001,00,U,13C,001,20,12,I
01,AL0430000,0N0WP-R27N04,20080918,D,3,001,02,W,290,001,20,12,I
01,AL0430000,0N1M0U728G2W,20081102,D,4,001,00,U,13C,001,20,12,I
01,AL0450000,0N1H0U7VSD1A,20081014,D,4,001,00,U,290,001,20,12,I
01,AL0630100, D0 KMS9G2 N,20080318,D,1,002,01,W,13C,002,20,41,I
02,AZ0020900,4Y-BUSV4G0W5,20080622,F,2,000,00,U,290,001,08,32, 
02,AZ0030100,J28P08KH7-F3,20080622,F,2,002,04,W,13A,002,13,41,I
02,AZ0030100,CI0AXOMHQ3 N,20080618,F,2,001,02,M,13C,001,25,13,I
02,AZ0030100,KN875AZO839G,20080730,F,3,000,00,U,290,001,04,23, 
02,AZ0030100,KN875BKM839G,20080901,F,3,001,02,B,13A,001,13,11,I
02,AZ0039700,DI8BROTL 28N,20080205,F,1,001,00,U,13C,001,20,42,I
02,AZ0039700,DI8BRERC 28N,20080301,F,1,001,08,I,13B,001,13,11,I
02,AZ0039700,DI8BKVZL 28N,20080903,F,3,001,00,U,13C,001,20,42,I
02,AZ0039700,DI8BKOZM 28N,20080921,F,3,001,01,W,13B,001,13,15,I
02,AZ0039700,DI8BKCS9 28N,20081202,F,4,000,00,U,290,001,20,12, 
02,AZ0070000, D0 IFRR72 N,20080225,F,1,001,01,W,290,001,20,12,I
02,AZ0070000,0N1H0O8PTD1A,20080605,F,2,001,00,U,290,001,20,33,I
02,AZ0070000,6C166Q0BPU72,20080726,F,3,002,01,W,13B,002,16,12,I
